Year,Average
-0.25%,2.94%,3.39%,1.69%,2.80%,1.36%,7.21%,4.34%,-1.28%,3.49%,2.43%,-0.11%,—
-5.76%,4.16%,-1.84%
-4.22%,-1.85%,-5.13%,-0.67%,13.02%,9.56%,5.44%,3.24%,1.75%,-3.04%,5.17%,5.52%,30.71%
11.05%,2.32%,11.86%,2.90%,4.61%,9.43%,1.28%,-4.24%,-8.87%,-0.26%,11.38%,1.36%,49.01%
-1.57%,-5.41%,5.75%,-9.71%,-5.45%,-8.14%,18.86%,-3.12%,-12.10%,10.96%,-3.30%,-12.12%,-26.31%
-0.55%,-7.97%,0.73%,7.62%,-5.05%,9.91%,6.50%,4.25%,-6.80%,5.87%,10.51%,7.42%,34.65%
5.40%,-11.47%,-6.98%,15.54%,8.51%,14.74%,16.51%,21.49%,-10.25%,-6.00%,9.55%,11.46%,82.06%
5.52%,4.48%,9.70%,5.64%,-12.42%,13.05%,7.64%,-1.65%,7.30%,11.07%,7.76%,9.88%,88.96%
-1.06%,6.82%,-5.80%,-1.50%,13.51%,-0.94%,2.80%,20.04%,-0.83%,-3.05%,-18.12%,-11.67%,-5.39%
4.77%,13.38%,4.87%,-0.01%,6.78%,-5.72%,3.27%,10.70%,-6.02%,9.68%,2.03%,-1.52%,48.46%
-7.52%,-0.13%,12.72%,-13.99%,7.18%,-4.27%,9.01%,2.37%,6.55%,0.43%,-2.16%,4.80%,12.48%
6.14%,10.08%,-3.14%,0.58%,4.53%,-3.72%,-3.29%,-6.62%,-2.18%,8.34%,-0.58%,-11.02%,-3.01%
-10.77%,5.75%,1.99%,9.94%,7.87%,2.77%,2.87%,7.75%,-1.71%,7.20%,10.60%,-7.19%,40.62%
-14.41%,-2.53%,0.29%,0.03%,2.24%,-11.83%,14.12%,8.38%,-2.15%,9.64%,7.01%,0.89%,8.07%
12.71%,18.83%,10.53%,-2.60%,-1.07%,1.09%,4.58%,9.39%,0.28%,-10.76%,-1.24%,-9.07%,32.57%
5.20%,4.09%,-1.33%,0.46%,-0.66%,-3.50%,16.33%,-1.45%,-0.91%,6.15%,-5.58%,5.97%,25.56%
-8.86%,6.54%,14.85%,11.10%,-1.61%,-2.08%,2.27%,-5.50%,16.72%,6.07%,3.38%,3.67%,53.07%
Summary
Worst Return: -18.12% (Nov 2018)
Best Return: 21.49% (Aug 2020)
-0.25%,2.94%,3.39%,1.69%,2.80%,1.36%,7.21%,4.34%,-1.28%,3.49%,2.43%,-0.11%,—
43.75%,62.50%,66.67%,60.00%,60.00%,46.67%,93.33%,60.00%,33.33%,66.67%,60.00%,60.00%,—
56.25%,37.50%,33.33%,40.00%,40.00%,53.33%,6.67%,40.00%,66.67%,33.33%,40.00%,40.00%,—
-0.81%,4.13%,1.99%,0.46%,4.53%,-0.94%,5.44%,3.24%,-1.71%,6.07%,3.38%,1.36%,—
12.71%,18.83%,14.85%,15.54%,13.51%,14.74%,18.86%,21.49%,16.72%,11.07%,11.38%,11.46%,—
-14.41%,-11.47%,-6.98%,-13.99%,-12.42%,-11.83%,-3.29%,-6.62%,-12.10%,-10.76%,-18.12%,-12.12%,—
6.60%,6.61%,6.38%,5.49%,6.30%,6.72%,7.65%,7.34%,5.63%,6.57%,6.56%,6.90%,—
14.41%,18.83%,14.85%,15.54%,13.51%,14.74%,18.86%,21.49%,16.72%,11.07%,18.12%,12.12%,—
0.55%,0.13%,0.29%,0.01%,0.66%,0.94%,1.28%,1.45%,0.28%,0.26%,0.58%,0.89%,—
